i	locus_tag	protein_id	gene	match_locus_tag	match_protein_id	match_gene	BBH	HIT
23	EO946_RS00790	WP_003156488.1	rpsN	BSU_01290	NP_388010.1	rpsNA	1	1
24	EO946_RS00810	WP_003156493.1	NA	BSU_01330	NP_388014.1	rpsE	1	1
25	EO946_RS00815	WP_003156497.1	rpmD	BSU_01340	NP_388015.1	rpmD	1	1
26	EO946_RS00845	WP_003156508.1	infA	BSU_01390	NP_388020.1	infA	1	1
27	EO946_RS00850	WP_003156543.1	rpmJ	BSU_01400	NP_388021.1	rpmJ	1	1
28	EO946_RS00855	WP_003156545.1	rpsM	BSU_01410	NP_388022.2	rpsM	1	1
29	EO946_RS20800	WP_003178075.1	NA	BSU_41060	NP_391986.1	rpmH	1	1
30	EO946_RS14035	WP_003184172.1	gerE	BSU_28410	NP_390719.2	gerE	1	6
31	EO946_RS10720	WP_003218130.1	NA	BSU_19590	NP_389840.1	ctpA	1	2
32	EO946_RS10725	WP_003218133.1	NA	BSU_19600	NP_389841.1	yodH	1	1
33	EO946_RS10730	WP_003218135.1	NA	BSU_19610	NP_389842.1	yodI	1	1
34	EO946_RS10735	WP_003218137.1	NA	BSU_19620	NP_389843.1	ldcB	1	1
35	EO946_RS10740	WP_003218140.1	deoD	BSU_19630	NP_389844.1	deoD	1	1
36	EO946_RS10745	WP_003218142.1	NA	BSU_19639	YP_003097743.1	yoyE	1	1
37	EO946_RS10750	WP_003218144.1	NA	BSU_19640	NP_389845.2	yodL	1	1
38	EO946_RS10760	WP_003218148.1	NA	BSU_19660	NP_389847.1	yozD	1	1
39	EO946_RS10765	WP_003218150.1	NA	BSU_19669	YP_003097744.1	yoyF	1	1
40	EO946_RS10770	WP_003218152.1	NA	BSU_19670	NP_389848.1	yodN	1	1
41	EO946_RS10780	WP_003218154.1	NA	BSU_19680	NP_389849.1	yozE	1	1
42	EO946_RS10785	WP_003218156.1	NA	BSU_19689	YP_003097745.1	yokU	1	1
43	EO946_RS10790	WP_003218158.1	ablA	BSU_19690	NP_389850.1	kamA	1	1
44	EO946_RS10795	WP_003218159.1	ablB	BSU_19700	NP_389851.1	kamB	1	1
45	EO946_RS10805	WP_003218163.1	NA	BSU_19720	NP_389853.1	yodR	1	2
46	EO946_RS10810	WP_003218165.1	NA	BSU_19730	NP_389854.1	yodS	1	2
47	EO946_RS10830	WP_003218181.1	NA	BSU_19750	NP_389856.1	cgeE	1	1
48	EO946_RS10835	WP_003218183.1	NA	BSU_19760	NP_389857.1	cgeD	1	1
49	EO946_RS10840	WP_003218185.1	NA	BSU_19770	NP_389858.1	cgeC	1	1
50	EO946_RS10845	WP_003218187.1	NA	BSU_19780	NP_389859.1	cgeA	1	1
51	EO946_RS10850	WP_003218189.1	NA	BSU_19790	NP_389860.2	cgeB	1	2
52	EO946_RS10855	WP_003218192.1	NA	BSU_19800	NP_389861.1	phyC	1	1
53	EO946_RS10860	WP_003218194.1	NA	BSU_34350	NP_391315.1	epsC	0	2
54	EO946_RS10865	WP_003218196.1	msrB	BSU_21680	NP_390051.1	msrB	1	1
55	EO946_RS10870	WP_003218198.1	msrA	BSU_21690	NP_390052.1	msrA	1	1
56	EO946_RS10875	WP_003218200.1	NA	BSU_21700	NP_390053.1	ypoP	1	6
57	EO946_RS10880	WP_003218202.1	NA	BSU_21710	NP_390054.1	dinF	1	4
58	EO946_RS10885	WP_003218204.1	NA	BSU_21720	NP_390055.1	ypmT	1	1
59	EO946_RS10890	WP_003218206.1	NA	BSU_21730	NP_390056.1	ypmS	1	1
60	EO946_RS10895	WP_003218208.1	NA	BSU_21740	NP_390057.1	ypmR	1	2
61	EO946_RS10900	WP_003218210.1	NA	BSU_21750	NP_390058.2	scuA	1	1
62	EO946_RS10905	WP_003218212.1	NA	BSU_21760	NP_390059.1	ypmP	1	1
63	EO946_RS10910	WP_003218214.1	ilvA	BSU_21770	NP_390060.1	ilvA	1	3
64	EO946_RS10915	WP_003218216.1	NA	BSU_21780	NP_390061.1	silP	1	1
65	EO946_RS10920	WP_003218218.1	NA	BSU_21790	NP_390062.1	yplQ	1	1
66	EO946_RS10925	WP_003218220.1	NA	BSU_21800	NP_390063.2	ypkP	1	1
67	EO946_RS10930	WP_003218222.1	NA	BSU_21810	NP_390064.1	dfrA	1	1
68	EO946_RS10935	WP_003218224.1	NA	BSU_21820	NP_390065.1	thyB	1	2
69	EO946_RS10940	WP_003218226.1	NA	BSU_21830	NP_390066.1	ypjQ	1	2
70	EO946_RS10945	WP_003218228.1	NA	BSU_21840	NP_390067.1	ypjP	1	1
71	EO946_RS10950	WP_003218230.1	NA	BSU_21850	NP_390068.2	rsmJ	1	1
72	EO946_RS10955	WP_003218231.1	NA	BSU_21860	NP_390069.1	brxA	1	2
73	EO946_RS10960	WP_003218233.1	ilvD	BSU_21870	NP_390070.2	ilvD	1	1
74	EO946_RS10965	WP_003218235.1	NA	BSU_21880	NP_390071.1	ypgR	1	1
75	EO946_RS10970	WP_003218236.1	NA	BSU_21890	NP_390072.1	hdhQ	1	1
76	EO946_RS10975	WP_003218239.1	NA	BSU_21900	NP_390073.1	bsaA	1	1
77	EO946_RS10980	WP_003218242.1	metA	BSU_21910	NP_390074.2	metAA	1	1
78	EO946_RS10985	WP_003218245.1	NA	BSU_21920	NP_390075.1	ugtP	1	3
79	EO946_RS11000	WP_003218247.1	degR	BSU_21940	NP_390077.1	degR	1	1
80	EO946_RS11005	WP_003218249.1	NA	BSU_21950	NP_390078.1	ypzA	1	1
81	EO946_RS11010	WP_003218251.1	NA	BSU_21960	NP_390079.1	ypeQ	1	1
82	EO946_RS11015	WP_003218252.1	NA	BSU_21970	NP_390080.2	ypeP	1	1
83	EO946_RS11020	WP_003218253.1	NA	BSU_21980	NP_390081.1	queP	1	1
84	EO946_RS11025	WP_003218254.1	NA	BSU_21990	NP_390082.1	ypdQ	1	1
85	EO946_RS11030	WP_003218255.1	sspL	BSU_22000	YP_054584.1	sspL	1	1
86	EO946_RS11045	WP_003218262.1	NA	BSU_22020	NP_390084.1	ypbS	1	1
87	EO946_RS11050	WP_003218264.1	NA	BSU_22030	NP_390085.1	dynA	1	1
88	EO946_RS11060	WP_003218265.1	NA	BSU_22040	NP_390086.1	bpsB	1	1
89	EO946_RS11070	WP_003218270.1	pbuX	BSU_22060	NP_390088.1	pbuX	1	5
90	EO946_RS11075	WP_003218272.1	xpt	BSU_22070	NP_390089.1	xpt	1	1
91	EO946_RS11080	WP_003218274.1	ypwA	BSU_22080	NP_390090.1	ypwA	1	1
92	EO946_RS11085	WP_003218276.1	kdgT	BSU_22090	NP_390091.1	kdgT	1	1
93	EO946_RS11090	WP_003218278.1	eda	BSU_22100	NP_390092.1	kdgA	1	1
94	EO946_RS11095	WP_003218280.1	NA	BSU_22110	NP_390093.1	kdgK	1	4
95	EO946_RS11100	WP_003218282.1	NA	BSU_22120	NP_390094.1	kdgR	1	11
96	EO946_RS11105	WP_003218284.1	kduI	BSU_22130	NP_390095.1	kduI	1	1
97	EO946_RS11110	WP_003218285.1	kduD	BSU_22140	NP_390096.1	kduD	1	28
98	EO946_RS11115	WP_003218286.1	NA	BSU_22150	NP_390097.1	ypvA	1	2
99	EO946_RS00180	WP_003218290.1	NA	BSU_00240	NP_387905.1	csfB	1	1
100	EO946_RS00185	WP_003218291.1	NA	BSU_00250	NP_387906.1	xpaC	1	1
101	EO946_RS00190	WP_003218292.1	NA	BSU_00260	NP_387907.1	yaaN	1	2
102	EO946_RS00195	WP_003218293.1	NA	BSU_00270	NP_387908.1	yaaO	1	2
103	EO946_RS00200	WP_003218294.1	NA	BSU_00280	NP_387909.2	tmk	1	1
104	EO946_RS00205	WP_003218295.1	NA	BSU_00290	NP_387910.1	darA	1	1
105	EO946_RS00210	WP_003218297.1	NA	BSU_00300	NP_387911.1	yaaR	1	1
106	EO946_RS00215	WP_003218299.1	holB	BSU_00310	NP_387912.1	holB	1	1
107	EO946_RS00220	WP_003218300.1	NA	BSU_00320	NP_387913.1	ricT	1	1
108	EO946_RS00225	WP_003218308.1	yabA	BSU_00330	NP_387914.1	dnaH	1	1
109	EO946_RS00230	WP_003218310.1	NA	BSU_00340	NP_387915.1	trmNF	1	1
110	EO946_RS00235	WP_003218311.1	NA	BSU_00350	NP_387916.1	yazA	1	1
111	EO946_RS00245	WP_003218316.1	NA	BSU_00370	NP_387918.1	abrB	1	2
112	EO946_RS00250	WP_003218318.1	metG	BSU_00380	NP_387919.1	metS	1	3
113	EO946_RS00255	WP_003218320.1	NA	BSU_00390	NP_387920.1	dayD	1	1
114	EO946_RS00265	WP_003218324.1	rnmV	BSU_00410	NP_387922.1	rnmV	1	1
115	EO946_RS00270	WP_003218326.1	rsmA	BSU_00420	NP_387923.1	rsmA	1	1
116	EO946_RS00275	WP_003218328.1	yabG	BSU_00430	NP_387924.1	prtG	1	1
117	EO946_RS00280	WP_003218330.1	NA	BSU_00440	NP_387925.1	veg	1	1
118	EO946_RS00285	WP_003218333.1	NA	BSU_00450	NP_387926.1	sspF	1	1
119	EO946_RS00290	WP_003218334.1	NA	BSU_00460	NP_387927.1	ispE	1	1
120	EO946_RS00295	WP_003218342.1	purR	BSU_00470	NP_387928.1	purR	1	1
121	EO946_RS00300	WP_003218344.1	NA	BSU_00480	NP_387929.1	ridA	1	1
122	EO946_RS00305	WP_003218346.1	NA	BSU_00490	NP_387930.1	spoVG	1	1
123	EO946_RS00310	WP_003218350.1	glmU	BSU_00500	NP_387931.1	glmU	1	1
124	EO946_RS00315	WP_003218353.1	NA	BSU_00510	NP_387932.1	prs	1	1
125	EO946_RS00320	WP_003218356.1	NA	BSU_00520	NP_387933.1	ctc	1	1
126	EO946_RS00325	WP_003218358.1	NA	BSU_00530	NP_387934.1	pth	1	1
127	EO946_RS00330	WP_003218360.1	NA	BSU_00540	NP_387935.1	fin	1	1
128	EO946_RS00335	WP_003218362.1	mfd	BSU_00550	NP_387936.1	mfd	1	1
129	EO946_RS00340	WP_003218365.1	spoVT	BSU_00560	NP_387937.1	spoVT	1	1
130	EO946_RS00345	WP_003218367.1	NA	BSU_00570	NP_387938.1	yabM	1	3
131	EO946_RS00350	WP_003218368.1	mazG	BSU_00580	NP_387939.1	yabN	1	1
132	EO946_RS00355	WP_003218370.1	NA	BSU_00590	NP_387940.1	hslR	1	1
133	EO946_RS00360	WP_003218373.1	yabP	BSU_00600	NP_387941.1	spcP	1	1
134	EO946_RS00365	WP_003218375.1	yabQ	BSU_00610	NP_387942.1	spcQ	1	1
135	EO946_RS00370	WP_003218377.1	NA	BSU_00620	NP_387943.1	divIC	1	1
136	EO946_RS00375	WP_003218379.1	NA	BSU_00630	NP_387944.1	yabR	1	4
137	EO946_RS00390	WP_003218381.1	spoIIE	BSU_00640	NP_387945.1	spoIIE	1	1
138	EO946_RS00395	WP_003218383.1	NA	BSU_00650	NP_387946.1	yabS	1	1
139	EO946_RS00400	WP_003218385.1	NA	BSU_00660	NP_387947.2	prkT	1	1
140	EO946_RS00405	WP_003218386.1	tilS	BSU_00670	NP_387948.1	tilS	1	1
141	EO946_RS00410	WP_003218388.1	hpt	BSU_00680	NP_387949.1	hprT	1	1
142	EO946_RS00415	WP_003218392.1	ftsH	BSU_00690	NP_387950.1	ftsH	1	1
143	EO946_RS00420	WP_003218395.1	NA	BSU_00700	NP_387951.2	coaX	1	1
144	EO946_RS00425	WP_003218397.1	hslO	BSU_00710	NP_387952.1	hslO	1	1
145	EO946_RS00430	WP_003218398.1	NA	BSU_00720	NP_387953.1	yacD	1	2
146	EO946_RS00435	WP_003218399.1	cysK	BSU_00730	NP_387954.1	cysK	1	5
147	EO946_RS00440	WP_003218400.1	NA	BSU_00740	NP_387955.1	pabB	1	2
148	EO946_RS00445	WP_003218401.1	pabA	BSU_00750	NP_387956.1	pabA	1	4
149	EO946_RS00450	WP_003218402.1	pabC	BSU_00760	NP_387957.1	pabC	1	2
150	EO946_RS00455	WP_003218403.1	folP	BSU_00770	NP_387958.1	folP	1	1
151	EO946_RS00460	WP_003218404.1	folB	BSU_00780	NP_387959.1	folB	1	1
152	EO946_RS00465	WP_003218405.1	folK	BSU_00790	NP_387960.1	folK	1	1
153	EO946_RS00470	WP_003218406.1	NA	BSU_00800	NP_387961.1	yazB	1	5
154	EO946_RS00475	WP_003218407.1	dusB	BSU_00810	NP_387962.1	dusB	1	2
155	EO946_RS00480	WP_003218408.1	lysS	BSU_00820	NP_387963.1	lysS	1	2
156	EO946_RS06820	WP_003218424.1	NA	BSU_12690	NP_389151.2	xkdP	1	2
157	EO946_RS06825	WP_003218425.1	NA	BSU_12700	NP_389152.1	xkdQ	1	2
158	EO946_RS06830	WP_003218427.1	NA	BSU_12710	NP_389153.1	xkdR	1	2
159	EO946_RS06835	WP_003218430.1	NA	BSU_12720	NP_389154.1	xkdS	1	2
160	EO946_RS06840	WP_003218432.1	NA	BSU_12730	NP_389155.1	xkdT	1	2
161	EO946_RS06845	WP_003218434.1	NA	BSU_12740	NP_389156.1	xkdU	1	2
162	EO946_RS06850	WP_003218436.1	NA	BSU_12749	YP_003097716.1	xkzA	1	2
163	EO946_RS06855	WP_003218438.1	NA	BSU_12750	NP_389158.1	xkdV	1	4
164	EO946_RS06860	WP_003218439.1	NA	BSU_12760	NP_389159.1	xkdW	1	2
165	EO946_RS06865	WP_003218441.1	NA	BSU_12770	NP_389160.1	xkdX	1	3
166	EO946_RS06870	WP_003218443.1	NA	BSU_12780	NP_389161.2	xepA	1	2
167	EO946_RS06875	WP_003218444.1	NA	BSU_12790	NP_389162.1	xhlA	1	1
168	EO946_RS06880	WP_003218447.1	NA	BSU_12800	NP_389163.1	xhlB	1	2
169	EO946_RS06885	WP_003218449.1	NA	BSU_12810	NP_389164.1	xlyA	1	4
170	EO946_RS06895	WP_003218451.1	NA	BSU_12820	NP_389165.1	spoIISB	1	1
171	EO946_RS06900	WP_003218453.1	NA	BSU_12830	NP_389166.1	spoIISA	1	1
172	EO946_RS06905	WP_003218455.1	NA	BSU_12840	NP_389167.2	pitB	1	2
173	EO946_RS06910	WP_003218470.1	NA	BSU_12850	NP_389168.1	ykaA	1	1
174	EO946_RS06915	WP_003218471.1	NA	BSU_12860	NP_389169.1	steT	1	14
175	EO946_RS06920	WP_003218472.1	NA	BSU_12870	NP_389170.1	mhqA	1	3
176	EO946_RS06925	WP_003218473.1	NA	BSU_12875	YP_009513953.1	NA	1	1
177	EO946_RS06930	WP_003218474.1	NA	BSU_12880	NP_389171.2	ykcB	1	2
178	EO946_RS06935	WP_003218475.1	NA	BSU_12890	NP_389172.2	ykcC	1	3
179	EO946_RS06940	WP_003218476.1	NA	BSU_12900	NP_389173.2	htrA	1	3
180	EO946_RS06945	WP_003218477.1	NA	BSU_12910	NP_389174.1	proCC	1	3
181	EO946_RS06950	WP_003218479.1	NA	BSU_12920	NP_389175.2	dppA	1	1
182	EO946_RS06955	WP_003218480.1	NA	BSU_12930	NP_389176.1	dppB	1	3
183	EO946_RS06960	WP_003218481.1	NA	BSU_12940	NP_389177.1	dppC	1	3
184	EO946_RS06965	WP_003218482.1	NA	BSU_12950	NP_389178.1	dppD	1	41
185	EO946_RS06975	WP_003218484.1	NA	BSU_12970	NP_389180.2	ldcA	1	2
186	EO946_RS06980	WP_003218485.1	NA	BSU_12980	NP_389181.1	aeeB	1	3
187	EO946_RS06985	WP_003218486.1	NA	BSU_12990	NP_389182.2	eepC	1	1
188	EO946_RS06990	WP_003218487.1	NA	BSU_13000	NP_389183.2	ykfD	1	18
189	EO946_RS06995	WP_003218488.1	NA	BSU_13010	NP_389184.1	pgl	1	1
190	EO946_RS07000	WP_003218490.1	NA	BSU_13020	NP_389185.2	ddaH	1	1
191	EO946_RS07010	WP_003218494.1	hmpA	BSU_13040	NP_389187.1	hmpA	1	1
192	EO946_RS07015	WP_003218495.1	NA	BSU_13050	NP_389188.1	ykzH	1	1
193	EO946_RS07020	WP_003218496.1	NA	BSU_13060	NP_389189.1	ykjA	1	4
194	EO946_RS07025	WP_003218497.1	NA	BSU_13070	NP_389190.1	ykkA	1	1
195	EO946_RS07030	WP_003218498.1	NA	BSU_13080	NP_389191.1	ykkB	1	4
196	EO946_RS07035	WP_003218499.1	ykkC	BSU_13090	NP_389192.1	gdnC	1	4
197	EO946_RS07040	WP_003218500.1	ykkD	BSU_13100	NP_389193.1	gdnD	1	5
198	EO946_RS07045	WP_003218501.1	purU	BSU_13110	NP_389194.2	purU	1	1
199	EO946_RS07050	WP_003218502.1	NA	BSU_13120	NP_389195.2	proB	1	2
200	EO946_RS07055	WP_003218503.1	proA	BSU_13130	NP_389196.2	proA	1	1
201	EO946_RS07060	WP_003218504.1	NA	BSU_13140	NP_389197.1	ohrA	1	2
202	EO946_RS07065	WP_003218505.1	NA	BSU_13150	NP_389198.1	ohrR	1	2
203	EO946_RS07070	WP_003218506.1	NA	BSU_13160	NP_389199.1	ohrB	1	2
204	EO946_RS07080	WP_003218510.1	NA	BSU_13170	NP_389200.1	guaN	1	2
205	EO946_RS07085	WP_003218512.1	NA	BSU_10340	NP_388915.1	phoE	0	1
206	EO946_RS07090	WP_003218515.1	metE	BSU_13180	NP_389201.2	metE	1	1
207	EO946_RS07095	WP_003218517.1	NA	BSU_13190	NP_389202.1	ispA	1	6
208	EO946_RS07100	WP_003218520.1	NA	BSU_13200	NP_389203.1	rsbRB	1	4
209	EO946_RS07105	WP_003218522.1	NA	BSU_13210	NP_389204.1	thiX	1	1
210	EO946_RS07110	WP_003218523.1	NA	BSU_13220	NP_389205.2	thiW	1	141
211	EO946_RS07115	WP_003218525.1	NA	BSU_13230	NP_389206.2	thiV	1	1
212	EO946_RS07120	WP_003218528.1	NA	BSU_13240	NP_389207.1	thiU	1	1
213	EO946_RS07125	WP_003218529.1	NA	BSU_13250	NP_389208.1	ykoG	1	13
214	EO946_RS07130	WP_003218531.1	NA	BSU_13260	NP_389209.1	ykoH	1	2
215	EO946_RS07135	WP_003218533.1	NA	BSU_13270	NP_389210.1	ykoI	1	1
216	EO946_RS07140	WP_003218535.1	NA	BSU_13280	NP_389211.1	ykoJ	1	2
217	EO946_RS07145	WP_003218541.1	NA	BSU_13290	NP_389212.1	ykzD	1	2
218	EO946_RS07150	WP_003218543.1	mgtE	BSU_13300	NP_389213.1	mgtE	1	1
219	EO946_RS07155	WP_003218544.1	NA	BSU_13310	NP_389214.1	tnrA	1	4
220	EO946_RS07160	WP_003218545.1	NA	BSU_13320	NP_389215.1	ykzB	1	1
221	EO946_RS07165	WP_003218546.1	NA	BSU_13330	NP_389216.1	ykoL	1	1
222	EO946_RS07175	WP_003218548.1	NA	BSU_13350	NP_389218.2	ykoN	1	2
223	EO946_RS07185	WP_003218550.1	NA	BSU_13370	NP_389220.1	ykoQ	1	3
224	EO946_RS07190	WP_003218551.1	NA	BSU_13380	NP_389221.1	ykoS	1	1
225	EO946_RS07195	WP_003218552.1	NA	BSU_13390	NP_389222.1	ykoT	1	3
226	EO946_RS07200	WP_003218553.1	NA	BSU_13400	NP_389223.1	ligD	1	1
227	EO946_RS07210	WP_003218555.1	NA	BSU_13420	YP_054577.2	dgcW	1	1
228	EO946_RS07220	WP_003218558.1	NA	BSU_13440	NP_389227.1	ykoY	1	1
229	EO946_RS07225	WP_003218559.1	sigI	BSU_13450	NP_389228.1	sigI	1	1
230	EO946_RS07235	WP_003218568.1	NA	BSU_13470	NP_389230.1	sspD	1	4
231	EO946_RS07240	WP_003218571.1	NA	BSU_13480	NP_389231.1	htpK	1	1
232	EO946_RS07245	WP_003218573.1	htpX	BSU_13490	NP_389232.1	htpX	1	2
233	EO946_RS07250	WP_003218575.1	NA	BSU_13500	NP_389233.1	ktrD	1	2
234	EO946_RS07255	WP_003218577.1	NA	BSU_13509	YP_003097718.1	ykzP	1	1
235	EO946_RS07260	WP_003218579.1	NA	BSU_13510	NP_389234.1	ykzE	1	1
236	EO946_RS07265	WP_003218581.1	NA	BSU_13520	NP_389235.1	ykrP	1	1
237	EO946_RS07270	WP_003218583.1	NA	BSU_13530	NP_389236.1	kinE	1	1
238	EO946_RS07275	WP_003218584.1	NA	BSU_13540	NP_389237.1	ogt	1	2
239	EO946_RS07280	WP_003218585.1	NA	BSU_13545	YP_009513954.1	NA	1	1
240	EO946_RS07285	WP_003218586.1	mtnA	BSU_13550	NP_389238.1	mtnA	1	1
241	EO946_RS07290	WP_003218587.1	NA	BSU_13560	NP_389239.2	mtnK	1	1
242	EO946_RS07295	WP_003218588.1	NA	BSU_13570	NP_389240.1	mtnU	1	2
243	EO946_RS07300	WP_003218589.1	NA	BSU_13580	NP_389241.1	mtnE	1	9
244	EO946_RS07310	WP_003218592.1	mtnX	BSU_13600	NP_389243.1	mtnX	1	1
245	EO946_RS07315	WP_003218593.1	NA	BSU_13610	NP_389244.1	mtnB	1	2
246	EO946_RS07320	WP_003218594.1	NA	BSU_13620	NP_389245.1	mtnD	1	1
247	EO946_RS07325	WP_003218596.1	NA	BSU_13630	NP_389246.1	ykvA	1	1
248	EO946_RS07330	WP_003218598.1	NA	BSU_13640	NP_389247.1	spo0E	1	1
249	EO946_RS07335	WP_003218600.1	NA	BSU_13650	NP_389248.1	eag	1	1
250	EO946_RS07350	WP_003218603.1	NA	BSU_13670	NP_389250.1	mhqR	1	9
251	EO946_RS07355	WP_003218604.1	motB	BSU_13680	NP_389251.1	motB	1	2
252	EO946_RS07360	WP_003218605.1	motA	BSU_13690	NP_389252.1	motA	1	2
253	EO946_RS07365	WP_003218607.1	NA	BSU_13700	NP_389253.1	clpE	1	2
254	EO946_RS07370	WP_003218609.1	NA	BSU_13710	NP_389254.1	ykvI	1	2
255	EO946_RS07375	WP_003218610.1	queC	BSU_13720	NP_389255.1	queC	1	1
256	EO946_RS07385	WP_003218612.1	queE	BSU_13740	NP_389257.1	queE	1	1
257	EO946_RS07390	WP_003218613.1	queF	BSU_13750	NP_389258.1	queF	1	1
258	EO946_RS07400	WP_003218617.1	NA	BSU_13800	NP_389263.1	ykvR	1	1
259	EO946_RS07405	WP_003218620.1	NA	BSU_13810	NP_389264.2	ykvS	1	1
260	EO946_RS07410	WP_003218622.1	NA	BSU_13819	YP_003097721.1	ykzS	1	1
261	EO946_RS07415	WP_003218625.1	NA	BSU_13820	NP_389265.1	ykvT	1	2
262	EO946_RS07420	WP_003218627.1	NA	BSU_13830	NP_389266.1	ykvU	1	3
263	EO946_RS07430	WP_003218630.1	cadA	BSU_13850	NP_389268.1	pfeT	1	3
264	EO946_RS07440	WP_003218632.1	NA	BSU_13860	NP_389269.1	papB	1	2
265	EO946_RS07445	WP_003218634.1	NA	BSU_13870	NP_389270.1	ykvZ	1	12
266	EO946_RS07450	WP_003218635.1	glcT	BSU_13880	NP_389271.2	glcT	1	4
267	EO946_RS07455	WP_003218636.1	NA	BSU_13890	NP_389272.1	ptsG	1	4
268	EO946_RS07460	WP_003218637.1	NA	BSU_13900	NP_389273.1	ptsH	1	2
269	EO946_RS07465	WP_003218638.1	ptsP	BSU_13910	NP_389274.2	ptsI	1	1
270	EO946_RS07470	WP_003218644.1	NA	BSU_13920	NP_389275.1	splA	1	1
271	EO946_RS07475	WP_003218645.1	splB	BSU_13930	NP_389276.1	splB	1	1
272	EO946_RS07485	WP_003218647.1	NA	BSU_13950	NP_389278.2	mcpC	1	5
273	EO946_RS07495	WP_003218649.1	NA	BSU_13970	NP_389280.2	ykwD	1	1
274	EO946_RS07500	WP_003218650.1	NA	BSU_13980	NP_389281.2	pbpH	1	4
275	EO946_RS07505	WP_003218651.1	NA	BSU_13990	NP_389282.1	kinA	1	1
276	EO946_RS07510	WP_003218653.1	NA	BSU_14000	NP_389283.2	dapX	1	10
277	EO946_RS07515	WP_003218655.1	NA	BSU_14009	YP_003097722.1	ykzT	1	1
278	EO946_RS07520	WP_003218657.1	NA	BSU_14010	NP_389284.1	cheV	1	1
279	EO946_RS07525	WP_003218659.1	NA	BSU_14020	NP_389285.1	kre	1	1
280	EO946_RS07530	WP_003218661.1	NA	BSU_14030	NP_389286.2	ykuC	1	1
281	EO946_RS07540	WP_003218664.1	NA	BSU_14050	NP_389288.2	ppeE	1	2
282	EO946_RS07545	WP_003218667.1	NA	BSU_14060	NP_389289.1	fadH	1	27
283	EO946_RS07550	WP_003218669.1	NA	BSU_14090	NP_389292.1	ykuI	1	1
284	EO946_RS07555	WP_003218671.1	NA	BSU_14100	NP_389293.1	ykuJ	1	1
285	EO946_RS07560	WP_003218672.1	NA	BSU_14110	NP_389294.1	ykuK	1	1
286	EO946_RS07570	WP_003218674.1	NA	BSU_14130	NP_389296.1	ykuL	1	1
287	EO946_RS07575	WP_003218675.1	NA	BSU_14140	NP_389297.1	ccpC	1	11
288	EO946_RS07580	WP_003218676.1	NA	BSU_14150	NP_389298.1	fldN	1	2
289	EO946_RS07585	WP_003218677.1	NA	BSU_14160	NP_389299.1	ykuO	1	1
290	EO946_RS07590	WP_003218678.1	NA	BSU_14170	NP_389300.2	fldP	1	3
291	EO946_RS07595	WP_003218680.1	dapD	BSU_14180	NP_389301.2	dapH	1	1
292	EO946_RS07600	WP_003218682.1	NA	BSU_14190	NP_389302.1	dapI	1	5
293	EO946_RS07605	WP_003218684.1	NA	BSU_14200	NP_389303.1	ykuS	1	1
294	EO946_RS07610	WP_003218686.1	NA	BSU_14210	NP_389304.2	mscT	1	1
295	EO946_RS07615	WP_003218688.1	NA	BSU_14220	NP_389305.1	ahpA	1	3
296	EO946_RS07620	WP_003218690.1	NA	BSU_14230	NP_389306.2	ykuV	1	4
