i	locus_tag	old_locus_tag	protein_id	gene	strand	start	end	product
170	EO946_RS01070	EO946_01070	WP_032727254.1	NA	-1	188428	189754	penicillin binding protein PBP4B
171	EO946_RS01075	EO946_01075	WP_003223635.1	NA	-1	189809	191177	PTS transporter subunit EIIC
172	EO946_RS01080	EO946_01080	WP_003223637.1	NA	-1	191202	192054	MurR/RpiR family transcriptional regulator
173	EO946_RS01085	EO946_01085	WP_003223639.1	murQ	-1	192067	192985	N-acetylmuramic acid 6-phosphate etherase
174	EO946_RS01090	EO946_01090	WP_003223640.1	NA	-1	193094	193577	GNAT family N-acetyltransferase
175	EO946_RS01095	EO946_01095	WP_003223642.1	NA	-1	193589	194045	DUF523 domain-containing protein
176	EO946_RS01125	EO946_01125	WP_003223646.1	sigW	1	194869	195433	RNA polymerase sigma factor SigW
177	EO946_RS01130	EO946_01130	WP_003223647.1	rsiW	1	195446	196073	anti-sigma-W factor RsiW
178	EO946_RS01135	EO946_01135	WP_003223651.1	NA	1	196239	197061	diadenylate cyclase CdaA
179	EO946_RS01140	EO946_01140	WP_003223653.1	NA	1	197053	198508	CdaA regulatory protein CdaR
180	EO946_RS01145	EO946_01145	WP_003223656.1	NA	1	198526	199873	phosphoglucosamine mutase
181	EO946_RS01150	EO946_01150	WP_136975882.1	NA	1	200099	200291	hypothetical protein
182	EO946_RS01155	EO946_01155	WP_003223659.1	glmS	1	200304	202107	glutamine--fructose-6-phosphate transaminase (isomerizing)
183	EO946_RS01160	EO946_01160	WP_003223661.1	NA	1	202881	204399	NADH dehydrogenase subunit 5
184	EO946_RS01165	EO946_01165	WP_013307898.1	NA	1	204413	207032	YbcC family protein
185	EO946_RS01170	EO946_01170	NA	NA	1	207104	207639	carbonic anhydrase
186	EO946_RS01175	EO946_01175	WP_003223668.1	NA	1	207703	207994	hypothetical protein
187	EO946_RS01180	EO946_01180	WP_003223670.1	NA	1	208049	208424	DUF2294 domain-containing protein
188	EO946_RS01185	EO946_01185	NA	NA	1	208795	>208873	TlpA family protein disulfide reductase
189	EO946_RS01190	EO946_01190	WP_003223671.1	NA	1	209112	210090	alpha/beta hydrolase
190	EO946_RS01195	EO946_01195	WP_003223673.1	NA	1	210091	210763	two-component system response regulator YbdK
191	EO946_RS01200	EO946_01200	WP_079996487.1	NA	1	210783	211752	HAMP domain-containing histidine kinase
192	EO946_RS01205	EO946_01205	WP_003223677.1	NA	-1	211977	212868	LysR family transcriptional regulator
193	EO946_RS01210	EO946_01210	WP_003223678.1	thrC	1	213022	214324	threonine synthase
194	EO946_RS01215	EO946_01215	WP_013307900.1	NA	1	214360	215587	ATP-grasp domain-containing protein
195	EO946_RS01220	EO946_01220	WP_003223682.1	NA	1	215571	216795	MFS transporter
196	EO946_RS01225	EO946_01225	WP_003223684.1	NA	1	216830	217334	hypothetical protein
197	EO946_RS01230	EO946_01230	WP_003223687.1	NA	1	217345	217906	phosphonopyruvate decarboxylase
198	EO946_RS01235	EO946_01235	WP_003223689.1	NA	1	217902	218916	aldolase
199	EO946_RS01240	EO946_01240	WP_003223692.1	aepX	1	218912	219803	phosphoenolpyruvate mutase
200	EO946_RS01245	EO946_01245	WP_003223694.1	NA	1	219825	220914	hypothetical protein
201	EO946_RS01250	EO946_01250	WP_003223695.1	NA	1	220949	221348	hypothetical protein
202	EO946_RS01255	EO946_01255	WP_032727253.1	NA	1	221374	222529	alanine--glyoxylate aminotransferase family protein
203	EO946_RS01260	EO946_01260	WP_003223700.1	NA	1	222521	222779	glutaredoxin
204	EO946_RS01265	EO946_01265	WP_003223702.1	NA	1	222794	223442	metallophosphoesterase
205	EO946_RS01270	EO946_01270	WP_003223704.1	NA	1	223458	224700	ATP-grasp domain-containing protein
206	EO946_RS01275	EO946_01275	WP_003223707.1	NA	1	224798	225035	hypothetical protein
207	EO946_RS01280	EO946_01280	WP_003223709.1	NA	-1	225019	225790	protein kinase
208	EO946_RS01285	EO946_01285	WP_003223711.1	NA	-1	225913	226768	hypothetical protein
209	EO946_RS01290	EO946_01290	WP_003223712.1	NA	1	226903	228088	DUF4885 domain-containing protein
210	EO946_RS01295	EO946_01295	WP_003223714.1	NA	1	228404	229793	amino acid permease
211	EO946_RS01300	EO946_01300	WP_003223716.1	csgA	1	229905	230154	sigma-G-dependent sporulation-specific acid-soluble spore protein CsgA
212	EO946_RS01305	EO946_01305	WP_003223719.1	NA	1	230168	230360	YbxH family protein
213	EO946_RS01310	EO946_01310	WP_003223722.1	blaOXA	-1	230389	231193	class D beta-lactamase
214	EO946_RS01315	EO946_01315	WP_003223725.1	NA	1	231366	232620	cytochrome P450
215	EO946_RS01320	EO946_01320	WP_003223727.1	NA	-1	232660	232921	hypothetical protein
216	EO946_RS01325	EO946_01325	WP_003223729.1	NA	1	233290	234922	Na/Pi cotransporter family protein
217	EO946_RS01330	EO946_01330	WP_003223731.1	NA	-1	234947	235838	glycerophosphodiester phosphodiesterase
218	EO946_RS01335	EO946_01335	WP_003223733.1	glpT	-1	235936	237271	glycerol-3-phosphate transporter
219	EO946_RS01340	EO946_01340	NA	NA	1	237262	237451	hypothetical protein
220	EO946_RS01345	EO946_01345	WP_003223735.1	NA	1	237565	237814	YbeF family protein
221	EO946_RS01350	EO946_01350	WP_003223737.1	NA	1	237905	238823	MarR family transcriptional regulator
222	EO946_RS01355	EO946_01355	WP_003223740.1	NA	1	238819	240073	MFS transporter
223	EO946_RS01360	EO946_01360	WP_003223742.1	NA	-1	240105	240531	hypothetical protein
224	EO946_RS01365	EO946_01365	WP_003223744.1	NA	-1	240592	241504	hypothetical protein
225	EO946_RS01370	EO946_01370	WP_003223746.1	NA	-1	241664	242591	DMT family transporter
226	EO946_RS01375	EO946_01375	WP_003223748.1	NA	-1	242587	243415	AraC family transcriptional regulator
227	EO946_RS01380	EO946_01380	WP_079996282.1	purT	1	243615	244800	phosphoribosylglycinamide formyltransferase 2
228	EO946_RS01385	EO946_01385	WP_003223752.1	NA	1	244941	245880	serine protease
229	EO946_RS01390	EO946_01390	WP_003223754.1	NA	1	245842	246241	YbfJ family protein
230	EO946_RS01395	EO946_01395	WP_003223755.1	NA	1	246413	247298	alpha/beta hydrolase
231	EO946_RS01400	EO946_01400	WP_003223757.1	pssA	1	247496	248030	CDP-diacylglycerol--serine O-phosphatidyltransferase
232	EO946_RS01405	EO946_01405	WP_003223759.1	NA	1	248020	248509	DedA family protein
233	EO946_RS01410	EO946_01410	WP_003223762.1	NA	1	248501	249311	phosphatidylserine decarboxylase
234	EO946_RS01415	EO946_01415	WP_003223765.1	NA	1	249347	249626	hypothetical protein
235	EO946_RS01420	EO946_01420	WP_003223766.1	NA	1	249729	251070	hydrolase
236	EO946_RS01425	EO946_01425	WP_003223769.1	NA	1	251322	252291	rhodanese-related sulfurtransferase
237	EO946_RS01430	EO946_01430	WP_003223771.1	NA	-1	252326	253571	cation:dicarboxylase symporter family transporter
238	EO946_RS01435	EO946_01435	NA	NA	-1	253713	255608	PTS glucose transporter subunit IICBA
239	EO946_RS01440	EO946_01440	WP_003223778.1	nagB	-1	255628	256378	glucosamine-6-phosphate deaminase
240	EO946_RS01445	EO946_01445	WP_003223779.1	NA	1	256596	257304	transcriptional regulator GamR
241	EO946_RS01450	EO946_01450	WP_003223781.1	NA	1	257338	257614	DUF1648 domain-containing protein
242	EO946_RS01455	EO946_01455	WP_079996283.1	NA	-1	257540	257747	hypothetical protein
243	EO946_RS01460	EO946_01460	WP_032727371.1	NA	1	257826	258897	branched-chain amino acid aminotransferase
244	EO946_RS01465	EO946_01465	WP_003223786.1	mmuP	-1	258932	260345	S-methylmethionine permease
245	EO946_RS01470	EO946_01470	WP_003223788.1	mmuM	-1	260465	261413	homocysteine S-methyltransferase
246	EO946_RS01475	EO946_01475	NA	NA	1	261416	261527	homocysteine methyltransferase
247	EO946_RS01480	EO946_01480	WP_003223789.1	NA	-1	261537	262974	alanine:cation symporter family protein
248	EO946_RS01485	EO946_01485	WP_003223791.1	NA	-1	262995	263979	glutaminase
249	EO946_RS01490	EO946_01490	WP_045590033.1	NA	1	264279	265512	two-component system sensor histidine kinase GlnK
250	EO946_RS01495	EO946_01495	WP_003223796.1	NA	1	265522	266467	glutamine utilization two-component system response regulator GlnL
251	EO946_RS01500	EO946_01500	WP_003223799.1	kdgD	1	266695	267622	5-dehydro-4-deoxyglucarate dehydratase
252	EO946_RS01505	EO946_01505	WP_003223801.1	NA	1	267651	269118	aldehyde dehydrogenase family protein
253	EO946_RS01510	EO946_01510	WP_003223803.1	NA	1	269202	270570	glucarate transporter GudP
254	EO946_RS01515	EO946_01515	WP_003223806.1	gudD	1	270606	271974	glucarate dehydratase
255	EO946_RS01520	EO946_01520	WP_003223808.1	NA	1	272043	272745	FadR family transcriptional regulator
256	EO946_RS01525	EO946_01525	WP_003223810.1	garD	1	272837	274370	galactarate dehydratase
257	EO946_RS01530	EO946_01530	WP_003223811.1	NA	1	274646	275567	phosphotransferase
258	EO946_RS01535	EO946_01535	NA	NA	1	275966	276128	tryptophan RNA-binding attenuation protein
259	EO946_RS01540	EO946_01540	WP_080334851.1	NA	1	276359	277040	two-component system response regulator YcbL
260	EO946_RS01545	EO946_01545	WP_003223816.1	NA	1	277041	277977	HAMP domain-containing histidine kinase
261	EO946_RS01550	EO946_01550	WP_003223819.1	NA	1	278071	278995	ABC transporter ATP-binding protein
262	EO946_RS01555	EO946_01555	WP_079996494.1	NA	1	279013	279700	ABC transporter permease
