i	locus_tag	old_locus_tag	protein_id	gene	strand	start	end	product
46	BSU_00460	BSU00460	NP_387927.1	ispE	1	53515	54385	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
47	BSU_00470	BSU00470	NP_387928.1	purR	1	54440	55298	transcriptional regulator of the purine biosynthesis operon (PurR-pRpp)
48	BSU_00480	BSU00480	NP_387929.1	ridA	1	55294	55672	aminoacrylate/iminopropionate hydrolase/deaminase
49	BSU_00490	BSU00490	NP_387930.1	spoVG	1	55865	56159	regulator required for spore cortex synthesis (stage V sporulation)
50	BSU_00500	BSU00500	NP_387931.1	glmU	1	56351	57722	bifunctional glucosamine-1-phosphate N-acetyltransferase/UDP-N-acetylglucosamine pyrophosphorylase
51	BSU_00510	BSU00510	NP_387932.1	prs	1	57744	58698	phosphoribosylpyrophosphate synthetase
52	BSU_00520	BSU00520	NP_387933.1	ctc	1	58782	59397	ribosomal protein BL25 (Ctc), binding 5S RNA
53	BSU_00530	BSU00530	NP_387934.1	pth	1	59503	60070	peptidyl-tRNA hydrolase
54	BSU_00540	BSU00540	NP_387935.1	fin	1	60129	60360	protein required for the switch from F to G during sporulation (anti sigma F)
55	BSU_00550	BSU00550	NP_387936.1	mfd	1	60429	63963	transcription-repair coupling factor
56	BSU_00560	BSU00560	NP_387937.1	spoVT	1	64098	64635	transcriptional regulator of sporulation / germination
57	BSU_00570	BSU00570	NP_387938.1	yabM	1	64816	66415	putative exporter
58	BSU_00580	BSU00580	NP_387939.1	yabN	1	66404	67874	putative fusion methylase and nucleotide pyrophosphohydrolase
59	BSU_00590	BSU00590	NP_387940.1	hslR	1	67876	68137	ribosomal RNA binding protein involved in 50S recycling; heat shock protein
60	BSU_00600	BSU00600	NP_387941.1	spcP	1	68215	68518	spore protein involved in the shaping of the spore coat
61	BSU_00610	BSU00610	NP_387942.1	spcQ	1	68514	69150	membrane protein of the forespore
62	BSU_00620	BSU00620	NP_387943.1	divIC	1	69167	69545	cell-division initiation protein
63	BSU_00630	BSU00630	NP_387944.1	yabR	1	69625	70012	putative RNA degradation protein; polyribonucleotide nucleotidyltransferase or phosphorylase
64	BSU_00640	BSU00640	NP_387945.1	spoIIE	1	70537	73021	SpoIIAA-phosphate serine phosphatase
65	BSU_00650	BSU00650	NP_387946.1	yabS	1	73105	73843	conserved protein of unknown function
66	BSU_00660	BSU00660	NP_387947.2	prkT	1	73808	74825	serine/threonine-protein kinase
67	BSU_00670	BSU00670	NP_387948.1	tilS	1	74928	76347	tRNA(ile2) lysidine synthetase
68	BSU_00680	BSU00680	NP_387949.1	hprT	1	76343	76886	hypoxanthine-guanine phosphoribosyltransferase
69	BSU_00690	BSU00690	NP_387950.1	ftsH	1	76983	78897	ATP-dependent cytoplasmic membrane protease
70	BSU_00700	BSU00700	NP_387951.2	coaX	1	79091	79868	pantothenate kinase type III
71	BSU_00710	BSU00710	NP_387952.1	hslO	1	79879	80755	disulfide bond chaperone (heat shock protein HSP33)
72	BSU_00720	BSU00720	NP_387953.1	yacD	1	80801	81695	putative protein chaperone accessory lipoprotein factor
73	BSU_00730	BSU00730	NP_387954.1	cysK	1	81770	82697	cysteine synthase
74	BSU_00740	BSU00740	NP_387955.1	pabB	1	82863	84276	4-amino-4-deoxychorismate synthase (para-aminobenzoate synthase)
75	BSU_00750	BSU00750	NP_387956.1	pabA	1	84289	84874	4-amino-4-deoxychorismate synthase; anthranilate synthase (subunit II)
76	BSU_00760	BSU00760	NP_387957.1	pabC	1	84873	85755	4-amino-4-deoxychorismate pyruvate-lyase
77	BSU_00770	BSU00770	NP_387958.1	folP	1	85736	86594	dihydropteroate synthase
78	BSU_00780	BSU00780	NP_387959.1	folB	1	86586	86949	dihydroneopterin aldolase
79	BSU_00790	BSU00790	NP_387960.1	folK	1	86945	87449	7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase
80	BSU_00800	BSU00800	NP_387961.1	yazB	1	87400	87610	putative transcriptional regulator
81	BSU_00810	BSU00810	NP_387962.1	dusB	1	87633	88635	tRNA-dihydrouridine synthase B
82	BSU_00820	BSU00820	NP_387963.1	lysS	1	88726	90226	lysyl-tRNA synthetase
83	BSU_00830	BSU00830	NP_387964.1	ctsR	1	101448	101913	transcriptional regulator of class III stress genes
84	BSU_00840	BSU00840	NP_387965.1	mcsA	1	101926	102484	activator of protein kinase McsB
85	BSU_00850	BSU00850	NP_387966.1	mcsB	1	102483	103575	protein arginine kinase
86	BSU_00860	BSU00860	NP_387967.1	clpC	1	103571	106004	class III stress response-related ATPase, AAA+ superfamily
87	BSU_00870	BSU00870	NP_387968.1	radA	1	106095	107472	DNA repair protein; 6-O-methylguanine-DNA methyltransferase
88	BSU_00880	BSU00880	NP_387969.1	disA	1	107475	108558	diadenylate cyclase; DNA integrity scanning protein; cell cycle checkpoint DNA scanning protein
89	BSU_00890	BSU00890	NP_387970.1	yacL	1	108673	109774	putative membrane protein possibly involved in RNA binding
90	BSU_00900	BSU00900	NP_387971.1	ispD	1	109788	110487	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, nonmevalonate isoprenoid pathway
91	BSU_00910	BSU00910	NP_387972.1	ispF	1	110479	110956	2-C-methyl-D-erythritol-2,4-cyclodiphosphate synthase
92	BSU_00920	BSU00920	NP_387973.1	gltX	1	111046	112498	glutamyl-tRNA synthetase
93	BSU_00930	BSU00930	NP_387974.1	cysE	1	112799	113453	serine O-acetyltransferase
94	BSU_00940	BSU00940	NP_387975.1	cysS	1	113449	114850	dual cysteinyl-tRNA synthetase; cysteine persulfide synthase
95	BSU_00950	BSU00950	NP_387976.1	mrnC	1	114853	115285	ribonuclease for 23S RNA maturation, mini-RNase III
96	BSU_00960	BSU00960	NP_387977.1	rlmB	1	115268	116018	23S rRNA (Gm2251)-methyltransferase
97	BSU_00970	BSU00970	NP_387978.1	raeA	1	116024	116537	ribosome-dependent mRNA endonuclease
98	BSU_00980	BSU00980	NP_387979.1	sigH	1	116599	117256	RNA polymerase sigma-30 factor (sigma(H))
99	BSU_00990	BSU00990	NP_387980.1	rpmGB	1	117348	117498	ribosomal protein L33
100	BSU_01000	BSU01000	NP_387981.1	secE	1	117531	117711	preprotein translocase subunit
101	BSU_01010	BSU01010	NP_387982.1	nusG	1	117889	118423	RNA polymerase elongation pause factor
102	BSU_01020	BSU01020	NP_387983.2	rplK	1	118590	119016	ribosomal protein L11 (BL11)
103	BSU_01030	BSU01030	NP_387984.2	rplA	1	119110	119809	ribosomal protein L1 (BL1)
104	BSU_01040	BSU01040	NP_387985.2	rplJ	1	120060	120561	ribosomal protein L10 (BL5)
105	BSU_01050	BSU01050	NP_387986.1	rplL	1	120606	120978	ribosomal protein L12 (BL9)
106	BSU_01060	BSU01060	NP_387987.1	rlmG	1	121067	121673	23S rRNA m2G1835 methyltransferase
107	BSU_01070	BSU01070	NP_387988.2	rpoB	1	121918	125500	RNA polymerase (beta subunit)
108	BSU_01080	BSU01080	NP_387989.2	rpoC	1	125561	129161	RNA polymerase (beta' subunit)
109	BSU_01090	BSU01090	NP_387990.1	rulS	1	129339	129588	K-turn RNA binding protein; alternative ribosomal protein L7A
110	BSU_01100	BSU01100	NP_387991.2	rpsL	1	129701	130118	ribosomal protein S12 (BS12)
111	BSU_01110	BSU01110	NP_387992.2	rpsG	1	130159	130630	ribosomal protein S7 (BS7)
112	BSU_01120	BSU01120	NP_387993.2	fusA	1	130683	132762	elongation factor G
113	BSU_01130	BSU01130	NP_387994.1	tufA	1	132881	134072	elongation factor Tu
114	BSU_01140	BSU01140	NP_387995.2	ybaC	1	134170	135127	putative proline iminopeptidase
115	BSU_01150	BSU01150	NP_387996.1	rpsJ	1	135363	135672	ribosomal protein S10 (BS13); transcription antitermination factor
116	BSU_01160	BSU01160	NP_387997.1	rplC	1	135711	136341	ribosomal protein L3 (BL3)
117	BSU_01170	BSU01170	NP_387998.1	rplD	1	136368	136992	ribosomal protein L4
118	BSU_01180	BSU01180	NP_387999.2	rplW	1	136991	137279	ribosomal protein L23
119	BSU_01190	BSU01190	NP_388000.2	rplB	1	137310	138144	ribosomal protein L2 (BL2)
120	BSU_01200	BSU01200	NP_388001.1	rpsS	1	138201	138480	ribosomal protein S19 (BS19)
121	BSU_01210	BSU01210	NP_388002.1	rplV	1	138496	138838	ribosomal protein L22 (BL17)
122	BSU_01220	BSU01220	NP_388003.2	rpsC	1	138841	139498	ribosomal protein S3 (BS3)
123	BSU_01230	BSU01230	NP_388004.1	rplP	1	139499	139934	ribosomal protein L16
124	BSU_01240	BSU01240	NP_388005.1	rpmC	1	139923	140124	ribosomal protein L29
125	BSU_01250	BSU01250	NP_388006.1	rpsQ	1	140146	140410	ribosomal protein S17 (BS16)
126	BSU_01260	BSU01260	NP_388007.1	rplNA	1	140450	140819	ribosomal protein L14
127	BSU_01270	BSU01270	NP_388008.1	rplX	1	140856	141168	ribosomal protein L24 (BL23)
128	BSU_01280	BSU01280	NP_388009.1	rplE	1	141194	141734	ribosomal protein L5 (BL6)
129	BSU_01290	BSU01290	NP_388010.1	rpsNA	1	141756	141942	ribosomal protein S14
130	BSU_01300	BSU01300	NP_388011.2	rpsH	1	141973	142372	ribosomal protein S8 (BS8)
131	BSU_01310	BSU01310	NP_388012.1	rplF	1	142401	142941	ribosomal protein L6 (BL8)
132	BSU_01320	BSU01320	NP_388013.2	rplR	1	142973	143336	ribosomal protein L18
133	BSU_01330	BSU01330	NP_388014.1	rpsE	1	143360	143861	ribosomal protein S5
134	BSU_01340	BSU01340	NP_388015.1	rpmD	1	143874	144054	ribosomal protein L30 (BL27)
135	BSU_01350	BSU01350	NP_388016.1	rplO	1	144084	144525	ribosomal protein L15
136	BSU_01360	BSU01360	NP_388017.1	secY	1	144526	145822	preprotein translocase subunit
137	BSU_01370	BSU01370	NP_388018.1	adk	1	145876	146530	adenylate kinase
138	BSU_01380	BSU01380	NP_388019.1	mapA	1	146526	147273	methionine aminopeptidase
139	BSU_01389	BSU01389	YP_003097669.1	ybzG	1	147311	147536	putative ribosome binding protein
140	BSU_01390	BSU01390	NP_388020.1	infA	1	147584	147803	initiation factor IF-I
141	BSU_01400	BSU01400	NP_388021.1	rpmJ	1	147836	147950	ribosomal protein L36 (ribosomal protein B)
142	BSU_01410	BSU01410	NP_388022.2	rpsM	1	147972	148338	ribosomal protein S13
143	BSU_01420	BSU01420	NP_388023.1	rpsK	1	148358	148754	ribosomal protein S11 (BS11)
144	BSU_01430	BSU01430	NP_388024.1	rpoA	1	148930	149875	RNA polymerase (alpha subunit)
145	BSU_01440	BSU01440	NP_388025.1	rplQ	1	149952	150315	ribosomal protein L17 (BL15)
146	BSU_01450	BSU01450	NP_388026.2	ecfA	1	150442	151288	energizing coupling factor of ABC influx transporter (ATP-binding protein)
147	BSU_01460	BSU01460	NP_388027.1	ecfAB	1	151302	152133	energizing coupling factor of ABC influx transporter (ATP-binding protein)
148	BSU_01470	BSU01470	NP_388028.2	ecfT	1	152129	152927	component of the influx ECF transporters
149	BSU_01480	BSU01480	NP_388029.2	truA	1	152936	153680	tRNA pseudouridine (38-40) synthase
150	BSU_01490	BSU01490	NP_388030.2	rplM	1	153841	154279	ribosomal protein L13
151	BSU_01500	BSU01500	NP_388031.1	rpsI	1	154299	154692	ribosomal protein S9
152	BSU_01510	BSU01510	NP_388032.2	ybaJ	1	155155	155923	putative methyltransferase
153	BSU_01520	BSU01520	NP_388033.1	ybaK	1	156108	156552	conserved protein of unknown function
154	BSU_01530	BSU01530	NP_388034.1	cwlD	1	156611	157325	N-acetylmuramoyl-L-alanine amidase
155	BSU_01540	BSU01540	NP_388035.1	salA	1	157420	158479	phosphorylation-dependent (Y327) transcriptional regulator
156	BSU_01550	BSU01550	NP_388036.1	gerD	-1	158514	159072	lipoprotein factor mediating clustering of germination proteins
157	BSU_01560	BSU01560	NP_388037.1	kbaA	1	159181	159778	inner membrane protein involved in activation of the KinB signaling pathway to sporulation
158	BSU_01570	BSU01570	NP_388038.1	pdaB	-1	159778	160543	polysaccharide deacetylase involved in sporulation
159	BSU_01580	BSU01580	NP_388039.1	ybaR	1	177082	178519	putative permease
160	BSU_01590	BSU01590	NP_388040.2	ybaS	1	178664	179585	putative sodium dependent transporter
161	BSU_01600	BSU01600	NP_388041.2	eesA	-1	179594	180347	iron-chelator (enterobactin family) esterase
162	BSU_01610	BSU01610	NP_388042.2	feuC	-1	180343	181354	iron-uptake protein
163	BSU_01620	BSU01620	NP_388043.1	feuB	-1	181346	182351	ferri-bacillibactin permease
164	BSU_01630	BSU01630	NP_388044.1	feuA	-1	182369	183323	ferri-bacillibactin-binding lipoprotein
165	BSU_01640	BSU01640	NP_388045.1	btr	-1	183413	185003	transcriptional activator (AraC/XylS family) of synthesis and uptake of the siderophore bacillibactin
166	BSU_01650	BSU01650	NP_388046.1	ybbC	-1	185193	186438	conserved protein of unknown function
167	BSU_01660	BSU01660	NP_388047.1	nagZ	-1	186451	188380	N-acetylglucosaminidase lipoprotein
168	BSU_01670	BSU01670	NP_388048.2	amiE	-1	188407	189733	amidase hydrolyzing N-acetylmuramyl-L-Ala bond of MurNAc peptides
169	BSU_01680	BSU01680	NP_388049.3	murP	-1	189789	191157	N-acetylmuramic acid PTS permease-MurP subunit
170	BSU_01690	BSU01690	NP_388050.1	murR	-1	191182	192034	transcriptional regulator MurR-N-acetylmuramic acid
171	BSU_01700	BSU01700	NP_388051.1	murQ	-1	192050	192965	D-lactyl ether N-acetylmuramic-6-phosphate acid etherase
172	BSU_01710	BSU01710	NP_388052.2	ybbJ	-1	193074	193557	putative acyltransferase
173	BSU_01720	BSU01720	NP_388053.2	ybbK	-1	193569	194025	conserved protein of unknown function
174	BSU_01730	BSU01730	NP_388054.1	sigW	1	194848	195412	RNA polymerase ECF(extracytoplasmic function)-type sigma factor W
175	BSU_01740	BSU01740	NP_388055.1	rsiW	1	195425	196052	anti-sigma(W) factor
176	BSU_01750	BSU01750	NP_388056.2	cdaA	1	196212	197034	diadenylate cyclase
177	BSU_01760	BSU01760	NP_388057.2	cdaR	1	197026	198478	regulator of diadenylate cyclase activity
178	BSU_01770	BSU01770	NP_388058.1	glmM	1	198496	199843	phosphoglucosamine mutase
179	BSU_01780	BSU01780	NP_388059.1	glmS	1	200276	202079	L-glutamine-D-fructose-6-phosphate amidotransferase
180	BSU_01790	BSU01790	YP_009513939.1	ybbU	1	202125	202266	hypothetical protein
181	BSU_01800	BSU01800	NP_388061.1	alkA	-1	202546	203458	DNA-3-methyladenine glycosylase; prophage 1 region
182	BSU_01810	BSU01810	NP_388062.1	adaA	1	203728	204364	methylphosphotriester-DNA alkyltransferase and transcriptional regulator (AraC/XylS family)
183	BSU_01820	BSU01820	NP_388063.1	adaB	1	204350	204890	O6-methylguanine-DNA methyltransferase; prophage 1 region
184	BSU_01830	BSU01830	NP_388064.1	ndhF	1	205408	206926	putative NADH dehydrogenase; prophage 1 region
185	BSU_01845	BSU01845	NP_388065.2	ybcC	1	206940	209556	conserved transmembrane protein coupled to NADH-ubiquinone oxidoreductase chain 5 homolog; prophage 1 region
186	BSU_01860	BSU01860	NP_388067.1	ybcF	1	209632	210160	putative enzyme; prophage 1 region
187	BSU_01870	BSU01870	NP_388068.1	ybcH	1	210223	210514	conserved protein of unknown function; prophage 1 region
188	BSU_01880	BSU01880	NP_388069.1	ybcI	1	210571	210946	conserved hypothetical protein; prophage 1 region
189	BSU_01889	BSU01889	YP_003097670.1	ybzH	1	211428	211731	putative transcriptional regulator (ArsR family); prophage 1 region
190	BSU_01890	BSU01890	NP_388070.1	ybcL	1	211858	213031	putative efflux transporter; prophage 1 region
191	BSU_01900	BSU01900	NP_388071.1	ybcM	1	213154	213469	putative enzyme
192	BSU_01910	BSU01910	NP_388072.1	skfA	1	213940	214108	sporulation killing factor A
193	BSU_01920	BSU01920	NP_388073.2	skfB	1	214174	215407	synthesis of sporulation killing factor A
194	BSU_01935	BSU01935	YP_003097671.1	skfC	1	215403	216894	sporulation killing factor biosynthesis and export
195	BSU_01950	BSU01950	NP_388077.1	skfE	1	216912	217632	sporulation killing factor biosynthesis and export; ABC transporter (binding protein)
196	BSU_01960	BSU01960	NP_388078.2	skfF	1	217696	219040	sporulation killing factor biosynthesis and export; ABC transporter (permease)
197	BSU_01970	BSU01970	NP_388079.2	skfG	1	219086	219602	sporulation killing factor biosynthesis and export
198	BSU_01980	BSU01980	NP_388080.2	skfH	1	219606	220032	sibling killing effect; sporulation killing factor biosynthesis and export
199	BSU_01990	BSU01990	NP_388081.2	ybdG	1	220278	221256	putative hydrolase/transferase
200	BSU_02000	BSU02000	NP_388082.1	ybdJ	1	221257	221929	two-component system response regulator [YbdK]
201	BSU_02010	BSU02010	NP_388083.1	ybdK	1	221949	222912	two-component system sensor histidine kinase [YbdJ]
202	BSU_02019	BSU02019	YP_003097672.1	ybzI	1	222970	223234	conserved protein of unknown function
203	BSU_02030	BSU02030	NP_388085.1	ybdM	-1	223218	223989	putative protein kinase
204	BSU_02040	BSU02040	NP_388086.1	ybdN	-1	224074	224932	putative phage protein; prophage region 1
205	BSU_02050	BSU02050	NP_388087.1	ybdO	1	225063	226248	putative phage protein; prophage region 1
206	BSU_02060	BSU02060	NP_388088.1	ybxG	1	226565	227954	putative amino acid permease
207	BSU_02070	BSU02070	NP_388089.1	csgA	1	228065	228314	sporulation-specific SASP protein
208	BSU_02080	BSU02080	NP_388090.1	ybxH	1	228330	228522	conserved protein of unknown function
209	BSU_02090	BSU02090	NP_388091.1	ybxI	-1	228548	229352	exported beta-lactamase
210	BSU_02100	BSU02100	NP_388092.1	cypC	1	229524	230778	fatty acid beta-hydroxylating cytochrome P450
211	BSU_02110	BSU02110	NP_388093.1	ybyB	-1	230818	231079	conserved protein of unknown function
212	BSU_02120	BSU02120	NP_388094.2	ybeC	1	231347	232967	putative H+/amino acid transporter
213	BSU_02130	BSU02130	NP_388095.1	glpQA	-1	233013	233895	secreted glycerophosphoryl diester phosphodiesterase
214	BSU_02140	BSU02140	NP_388096.1	glpT	-1	233993	235328	sn-glycerol-3-phosphate permease
215	BSU_02150	BSU02150	NP_388097.1	ybeF	1	235624	235873	conserved protein of unknown function
216	BSU_02160	BSU02160	NP_388098.1	ybfA	1	235964	236882	putative transcriptional regulator with acetyltransferase domain
217	BSU_02170	BSU02170	NP_388099.1	ybfB	1	236878	238129	putative carboxylate transporter
218	BSU_02180	BSU02180	NA	ybfEc	-1	238163	238448	conserved protein of unknown function (C-terminal end)
219	BSU_02181	BSU02181	NA	ybfEn	-1	238353	238476	conserved protein of unknown function YbfE (N-terminal fragment)
220	BSU_02190	BSU02190	NP_388101.1	ybfF	-1	238643	239555	conserved protein of unknown function
221	BSU_02200	BSU02200	NP_388102.1	ybfG	-1	239643	241842	putative pepdidoglycan binding protein
222	BSU_02210	BSU02210	NP_388103.1	ybfH	-1	241916	242837	putative permease
223	BSU_02220	BSU02220	NP_388104.1	ybfI	-1	242833	243661	putative transcriptional regulator (AraC/XylS family, cupin family)
224	BSU_02230	BSU02230	NP_388105.1	purT	1	243891	245046	phosphoribosylglycinamide formyltransferase 2
225	BSU_02240	BSU02240	NP_388106.1	mpr	1	245189	246131	extracellular glutamyl-endopeptidase
226	BSU_02250	BSU02250	NP_388107.1	ybfJ	1	246093	246492	putative lipoprotein
227	BSU_02260	BSU02260	NP_388108.1	cesB	1	246657	247548	enantioselective carboxylesterase
228	BSU_02270	BSU02270	NP_388109.1	pssA	1	247743	248277	phosphatidylserine synthase
229	BSU_02280	BSU02280	NP_388110.1	ybfM	1	248267	248756	putative membrane phosphatase
230	BSU_02290	BSU02290	NP_388111.1	psd	1	248748	249540	phosphatidylserine decarboxylase; 32 kDa precursor processed into a 29 kDa protein
231	BSU_02300	BSU02300	NP_388112.1	ybfN	1	249594	249873	conserved protein of unknown function
232	BSU_02310	BSU02310	NP_388113.1	ybfO	1	249978	251319	putative exported hydrolase
233	BSU_02320	BSU02320	NP_388114.1	ybfP	1	251426	252314	putative transcriptional regulator (AraC/XylS family)
234	BSU_02330	BSU02330	NP_388115.1	ybfQ	1	252513	253482	putative enzyme with rhodanese domain
235	BSU_02340	BSU02340	NP_388116.1	gltP	-1	253517	254762	proton/glutamate symport protein
236	BSU_02350	BSU02350	NP_388117.1	gamP	-1	254906	256802	phosphotransferase system (PTS) glucosamine-specific enzyme IICBA component
237	BSU_02360	BSU02360	NP_388118.1	gamA	-1	256822	257572	glucosamine-6-phosphate deaminase
238	BSU_02370	BSU02370	NP_388119.1	gamR	1	257790	258498	transcriptional regulator-GlcN6P (GntR family)
239	BSU_02380	BSU02380	NP_388120.1	ybgB	1	258531	258807	conserved protein of unknown function (B. subtilis-specific)
240	BSU_02390	BSU02390	NP_388121.1	ilvE	1	259015	260086	isoleucine-valine aminotransferase / aromatic amino acid aminotransferase
241	BSU_02400	BSU02400	NP_388122.1	ybgF	-1	260122	261535	putative aminoacid permease
242	BSU_02410	BSU02410	NP_388123.1	ybgG	-1	261655	262603	homocysteine methylase using (R,S)AdoMet
243	BSU_02420	BSU02420	NP_388124.2	glnT	-1	262731	264168	glutamine transporter
244	BSU_02430	BSU02430	NP_388125.1	glsA	-1	264190	265174	glutaminase
245	BSU_02440	BSU02440	NP_388126.2	glnJ	1	265475	266708	two-component sensor histidine kinase [GlnL] for glutamine degradation
246	BSU_02450	BSU02450	NP_388127.1	glnL	1	266718	267663	two-component response regulator [GlnJ] for glutamine utilisation
247	BSU_02460	BSU02460	NP_388128.2	kdgD	1	267889	268816	5-dehydro-4-deoxyglucarate dehydratase
248	BSU_02470	BSU02470	NP_388129.1	gucD	1	268845	270312	2,5-dioxovalerate dehydrogenase (alpha-ketoglutaric semialdehyde dehydrogenase)
249	BSU_02480	BSU02480	NP_388130.2	gudP	1	270395	271763	glucarate transporter
250	BSU_02490	BSU02490	NP_388131.2	gudD	1	271799	273167	glucarate dehydratase
251	BSU_02500	BSU02500	NP_388132.2	garR	1	273236	273938	transcriptional regulator (GntR family)
252	BSU_02510	BSU02510	NP_388133.2	garD	1	274028	275561	D-galactarate dehydratase
253	BSU_02520	BSU02520	NP_388134.1	ycbJ	1	275837	276758	putative phosphotransferase
254	BSU_02530	BSU02530	NP_388135.1	rtpA	1	277159	277321	anti-TRAP regulator
255	BSU_02540	BSU02540	NP_388136.1	ycbK	1	277341	278280	putative tryptophan or indole exporter
256	BSU_02550	BSU02550	NP_388137.2	ycbL	1	278376	279057	two-component response regulator [YcbM]
257	BSU_02560	BSU02560	NP_388138.2	ycbM	1	279058	279994	two-component sensor histidine kinase [YcbL]
258	BSU_02570	BSU02570	NP_388139.2	ycbN	1	280085	281009	putative ABC efflux transporter (ATP-binding protein)
259	BSU_02580	BSU02580	NP_388140.3	ycbO	1	281027	281714	putative Na+-driven exporter
